title;artist;album;isrc
Sargasso Sea;Salt Tank;The Very Best Of Cafe del Mar Music;gbqf71200001
my future;Billie Eilish;my future;usum72013019
For What It's Worth;Billy Porter;For What It's Worth (Change for Good Remix);usme32000327
Feeling Good;Jennifer Hudson;I Remember Me;usar11000214
Bullit;Watermät;Bullit;nlz541400541
Eisbaer;Groove Zone;Eisbaer;
Midnight (The Hanging Tree) (Slider & Magnit Remix);Hosh, 1979, Jalja;Midnight (The Hanging Tree) (Remixes);usqx92002549
my future;Billie Eilish;my future;usum72013019
White Rabbit;Jefferson Airplane;Surrealistic Pillow;usrc10301017
