title;artist;album;isrc
Let Me Think About It;Ida Corr;Singled Out;dkuca0700015
Immigrant Song;Led Zeppelin;Led Zeppelin III (Deluxe Edition);
Stay;Grum;Deep State;gbewa1902891
Immigrant Song;Led Zeppelin;Led Zeppelin III (HD Remastered Edition) (Remaster);usat21207018
Panic Room;Au/Ra & CamelPhat;Panic Room;gbarl1800456
Black Marlin;Parov Stelar;Voodoo Sonic (The Trilogy, Pt. 3);ate612010013
De Cara a La Pared (Face to the Wall);Lhasa;La Llorona;caa509701001
Paris, Texas;Gotan Project;Lunatico;fr99s0500027
A Real Hero;College;A real hero - EP;fr6v80039200
The Lover Who Rocks You (All Night);India;Breaking Night;usre19901221
We Could Be Friends;Aqua Bassino;Rue de Paris;frv220200091
This Is What It Feels Like;Armin van Buuren;Intense (The More Intense Edition);nlf711303312
Rimsky-Korsakov, Sedlar: Scheherazade, Op. 35 - I. The Sea and Sinbad's Ship;Nikolai Rimsky-Korsakov;Rimsky-Korsakov  - Great Recordings;den961800731
6 Underground (The Umbrellas of Ladywell mix #2);Sneaker Pimps;Becoming Remixed;gbcdn9600014
The Story;Mark Farina, Homero Espinosa;Om Records - 25 Years;usom82070004
Give It Away;Zero 7;Simple Things;gbchv0150164
Waiting;Madonna;Erotica;uswb19200064
Shiny Disco Balls (Illyus & Barrientos Extended Refix);Who Da Funk;Shiny Disco Balls (Remixes);nlf712106729
Tin Tin Out - Always Somethin;Now That`s What I Call Music!;Now, Vol. 30 (UK);
Don't Cry, It's Only the Rhythm;Grace Jones;Slave To The Rhythm;usir28500206
Mindcircus (Gabriel & Dresden Remix);DJ Tiesto;In Search Of Sunrise 3 - Panama;nle710720741
